Année,Secteurs géographiques,Numéro du quartier,Nom du quartier,Nombre de pièces principales,Epoque de construction,Type de location,Loyers de référence,Loyers de référence majorés,Loyers de référence minorés,Ville,Numéro INSEE du quartier
2022,9,69,Grandes-Carrières,3,1946-1970,meublé,20.3,24.36,14.21,PARIS,7511869
2023,6,58,Necker,2,Apres 1990,non meublé,24.0,28.8,16.8,PARIS,7511558
2019,1,28,Gros-Caillou,4,Avant 1946,non meublé,27.8,33.4,19.5,PARIS,7510728
2022,9,70,Clignancourt,1,1971-1990,meublé,27.6,33.12,19.32,PARIS,7511870
2021,5,33,Saint-Georges,1,1971-1990,non meublé,27.1,32.52,18.97,PARIS,7510933
2025,2,24,Saint-Germain-des-Prés,4,1971-1990,non meublé,23.8,28.6,16.7,PARIS,7510624
2022,2,4,Place-Vendôme,2,1971-1990,meublé,29.9,35.88,20.93,PARIS,7510104
2019,14,45,Bel-Air,3,Avant 1946,meublé,22.8,27.4,16.0,PARIS,7511245
2019,10,67,Batignolles,2,1946-1970,meublé,23.6,28.3,16.5,PARIS,7511767
2021,13,50,Gare,3,Avant 1946,non meublé,20.6,24.72,14.42,PARIS,7511350
2024,2,29,Champs-Elysées,1,Avant 1946,non meublé,34.0,40.8,23.8,PARIS,7510829
2020,11,71,Goutte-d'Or,3,1971-1990,meublé,22.3,26.76,15.61,PARIS,7511871
2022,5,37,Saint-Vincent-de-Paul,1,1971-1990,meublé,30.9,37.08,21.63,PARIS,7511037
2020,9,46,Picpus,3,Apres 1990,meublé,24.5,29.4,17.15,PARIS,7511246
2025,5,36,Rochechouart,2,1971-1990,non meublé,26.3,31.6,18.4,PARIS,7510936
2019,10,55,Petit-Montrouge,1,Avant 1946,non meublé,28.5,34.2,20.0,PARIS,7511455
2022,2,22,Odeon,4,Avant 1946,meublé,29.0,34.8,20.3,PARIS,7510622
2025,10,49,Salpêtrière,3,1946-1970,non meublé,21.6,25.9,15.1,PARIS,7511349
2020,13,72,La Chapelle,3,1971-1990,meublé,18.9,22.68,13.23,PARIS,7511872
